Country,Location,Household_Size,Head_Age,Head_Gender,Head_Education,Occupation,Monthly_Income_USD,Food_Cost_USD,Rent_Cost_USD,Transport_Cost_USD,Utilities_Cost_USD,Other_Costs_USD,Total_Expenditure_USD,Has_Mobile_Money,Savings_Rate,Monthly_Savings_USD,Has_Debt,Debt_Outstanding_USD,Remittance_Received_USD,Access_to_Healthcare,Access_to_School,Percent_Income_on_Essentials,Financial_Stress_Index
Senegal,Rural,6,35,Female,Secondary,Trader,158.1,55.91,11.76,9.13,4.1,32.22,113.12,TRUE,0.231,36.52,FALSE,0,0,TRUE,TRUE,0.508,0.011
Uganda,Urban,2,48,Female,Primary,Farmer,34.7,11.32,4.98,3.56,2.94,1.43,24.23,TRUE,0.099,3.44,FALSE,0,0,TRUE,TRUE,0.639,0.012
Cameroon,Rural,4,24,Male,Secondary,Trader,72.31,30.15,7.77,5.56,5.3,6.46,55.24,TRUE,0.104,7.52,TRUE,443.9,0,FALSE,FALSE,0.665,0.047
Tanzania,Rural,4,40,Female,Secondary,Farmer,105.05,34.79,12.75,6.79,6.25,9.79,70.37,TRUE,0.178,18.7,FALSE,0,305.62,TRUE,TRUE,0.571,0.01
Senegal,Rural,7,37,Male,Secondary,Farmer,176.84,78.41,10.23,15.8,13.81,10.18,128.43,TRUE,0.162,28.65,TRUE,684.49,213.2,FALSE,TRUE,0.665,0.033
Malawi,Rural,8,40,Female,No_School,Salaried,214.16,94.75,19.98,10.2,19.73,22.69,167.35,FALSE,0.069,14.78,FALSE,0,0,TRUE,TRUE,0.672,0.016
Ghana,Urban,1,19,Female,Primary,Salaried,128.6,39.29,30.41,4.81,8.5,9.18,92.19,TRUE,0.153,19.68,FALSE,0,0,TRUE,TRUE,0.641,0.012
Senegal,Rural,5,34,Female,No_School,Casual_Labour,10,5,0.51,0.46,0.73,0.97,7.67,TRUE,0.112,1.12,FALSE,0,0,TRUE,TRUE,0.609,0.012
Cameroon,Urban,7,40,Male,Primary,Self_Employed,190.87,68.31,69.16,15.65,14.55,17.49,185.16,TRUE,0.106,20.23,FALSE,0,0,FALSE,TRUE,0.874,0.021
Tanzania,Rural,3,46,Female,Tertiary,Student,66.39,21.41,2.95,1.99,0.48,6.75,33.58,TRUE,0.075,4.98,FALSE,0,0,FALSE,TRUE,0.398,0.007
Uganda,Rural,5,62,Male,Primary,Trader,104.12,39.32,5.03,6.97,7.72,5.4,64.44,FALSE,0.015,1.56,FALSE,0,0,TRUE,TRUE,0.562,0.011
Cameroon,Rural,2,50,Male,Secondary,Trader,37.08,8.86,3.61,1.09,0.4,154.02,167.98,FALSE,0.109,4.04,TRUE,727.77,0,TRUE,TRUE,0.367,0.235
Cameroon,Urban,4,46,Male,Primary,Salaried,349.49,109.16,58.24,14.55,21.05,32.18,235.18,TRUE,0.128,44.73,TRUE,806.22,314.86,TRUE,TRUE,0.579,0.024
Ghana,Rural,3,55,Female,Tertiary,Self_Employed,10,5,1.18,0.4,0.77,0.98,8.33,TRUE,0.064,0.64,FALSE,0,0,TRUE,TRUE,0.668,0.015
Rwanda,Urban,3,36,Female,Primary,Salaried,176.53,58.15,53.33,9.14,0.92,17.72,139.26,FALSE,0.099,17.48,FALSE,0,0,TRUE,TRUE,0.685,0.015
Tanzania,Urban,1,59,Male,Primary,Trader,329.73,140.29,77.7,30.54,20.3,42.72,311.55,FALSE,0.049,16.16,FALSE,0,0,TRUE,TRUE,0.813,0.021
Kenya,Rural,6,53,Female,Secondary,Trader,10,5,0.9,0.79,0.49,0.45,7.63,FALSE,0.09,0.9,FALSE,0,267.44,TRUE,FALSE,0.653,0.013
Cameroon,Urban,3,35,Female,Secondary,Trader,63.2,22.66,15.24,5.73,3.32,5.48,52.43,FALSE,0.091,5.75,FALSE,0,0,TRUE,TRUE,0.731,0.017
Rwanda,Rural,7,63,Male,Primary,Farmer,171.67,58.64,15.66,8.67,14.3,9.19,106.46,FALSE,0.029,4.98,TRUE,795.86,0,TRUE,FALSE,0.563,0.036
Kenya,Urban,6,45,Female,No_School,Casual_Labour,75.74,18.41,14.36,8.52,8.86,3.66,53.81,TRUE,0.131,9.92,FALSE,0,0,TRUE,TRUE,0.654,0.012
Tanzania,Urban,3,66,Female,Primary,Salaried,209.46,79.06,40,19.9,17.19,24.6,180.75,FALSE,0.072,15.08,TRUE,608,397.37,TRUE,TRUE,0.742,0.034
Nigeria,Rural,3,44,Male,Secondary,Self_Employed,149.66,55.7,3.51,9.35,9.09,15.57,93.22,FALSE,0.026,3.89,FALSE,0,0,FALSE,FALSE,0.515,0.011
Malawi,Urban,2,33,Female,Tertiary,Farmer,313.12,67.23,104.52,27.24,6.14,22.82,227.95,FALSE,0.132,41.33,FALSE,0,0,TRUE,FALSE,0.653,0.013
Rwanda,Urban,4,31,Female,Primary,Salaried,295.25,52.29,65.87,21.78,29.83,108.77,278.54,TRUE,0.066,19.49,FALSE,0,0,FALSE,TRUE,0.573,0.021
Zambia,Rural,5,36,Male,Secondary,Casual_Labour,112.05,35.66,18.64,5.16,6.17,3.87,69.5,TRUE,0.177,19.83,FALSE,0,0,TRUE,FALSE,0.581,0.009
Nigeria,Urban,6,33,Male,No_School,Trader,64.66,28.2,21.09,7.39,0.61,9.87,67.16,TRUE,0.151,9.76,FALSE,0,0,TRUE,TRUE,0.873,0.022
Malawi,Rural,5,55,Female,Primary,Trader,45.42,24.54,2.45,3.17,1.15,4.23,35.54,FALSE,0.034,1.54,FALSE,0,0,FALSE,FALSE,0.674,0.016
Ghana,Urban,1,40,Male,Primary,Trader,106.96,23.8,7.64,9.09,2.34,2.05,44.92,FALSE,0.12,12.84,FALSE,0,0,TRUE,TRUE,0.397,0.003
Senegal,Rural,8,21,Female,Secondary,Trader,185.6,86.08,16.49,14.84,4.93,163,285.34,TRUE,0.132,24.5,FALSE,0,342.13,FALSE,FALSE,0.656,0.039
Uganda,Rural,8,43,Male,No_School,Salaried,143.33,61.82,12.93,8.66,12.96,8.88,105.25,TRUE,0.113,16.2,FALSE,0,0,FALSE,FALSE,0.668,0.013
Zambia,Rural,3,42,Female,Secondary,Trader,114.21,35.31,7.97,3.87,7.53,7.97,62.65,FALSE,0.024,2.74,FALSE,0,0,FALSE,TRUE,0.475,0.009
Ghana,Urban,6,34,Female,Primary,Self_Employed,10,5,2.54,1.16,0.76,1.49,10.95,TRUE,0.125,1.25,FALSE,0,0,FALSE,TRUE,0.86,0.022
Tanzania,Rural,4,43,Female,Secondary,Salaried,205.95,78.81,18.1,3.2,0,18.12,118.23,FALSE,0.085,17.51,TRUE,704.3,0,TRUE,TRUE,0.484,0.027
Ghana,Rural,3,39,Male,Secondary,Farmer,28.35,9.47,2.21,1.09,2.35,5.19,20.31,FALSE,0.084,2.38,FALSE,0,0,TRUE,TRUE,0.515,0.013
Senegal,Rural,7,48,Female,Primary,Casual_Labour,15.3,5,0.25,1.17,1.21,3.83,11.46,TRUE,0.152,2.33,TRUE,941.32,0,FALSE,FALSE,0.468,0.322
Tanzania,Urban,3,47,Male,Secondary,Trader,163.33,58.33,24.74,20.47,1.02,27.55,132.11,TRUE,0.089,14.54,TRUE,66.64,0,TRUE,TRUE,0.636,0.018
Zambia,Rural,4,44,Female,Primary,Salaried,134.26,47.38,14.66,5.63,3.04,122.17,192.88,FALSE,0,0,TRUE,485.21,0,TRUE,TRUE,0.523,0.057
Senegal,Rural,7,24,Male,Primary,Farmer,107.26,54.35,10.97,7.11,10.1,18.26,100.79,TRUE,0.056,6.01,FALSE,0,0,FALSE,TRUE,0.762,0.021
Kenya,Urban,4,65,Female,No_School,Casual_Labour,87.54,24.84,24.8,11.68,3.69,6.24,71.25,FALSE,0.065,5.69,FALSE,0,0,TRUE,TRUE,0.734,0.017
Uganda,Urban,6,21,Male,Primary,Casual_Labour,62.45,17.98,25.86,2.56,5.64,7.8,59.84,FALSE,0.008,0.5,FALSE,0,0,TRUE,TRUE,0.82,0.022
Zambia,Rural,5,38,Female,No_School,Trader,83.86,26.35,3.7,3.72,5.06,14.18,53.01,FALSE,0.068,5.7,FALSE,0,0,TRUE,TRUE,0.458,0.011
Kenya,Urban,11,27,Female,Primary,Farmer,121.78,65.27,40.37,8.92,5.43,5.35,125.34,TRUE,0.122,14.86,FALSE,0,0,TRUE,TRUE,0.977,0.023
Malawi,Rural,3,45,Female,No_School,Self_Employed,24.03,6.48,1.83,1.46,1.34,71.12,82.23,TRUE,0.15,3.6,FALSE,0,0,FALSE,TRUE,0.444,0.095
Zambia,Rural,4,42,Male,Primary,Trader,21.89,9.67,0.44,1.3,0.01,26.54,37.96,FALSE,0.063,1.38,TRUE,948.72,0,TRUE,TRUE,0.499,0.267
Malawi,Rural,2,38,Male,Tertiary,Self_Employed,251.33,60.56,18.76,6.53,17.95,14.18,117.98,FALSE,0.06,15.08,FALSE,0,0,TRUE,TRUE,0.411,0.006
Tanzania,Urban,3,58,Female,Secondary,Casual_Labour,63.96,24.32,16.61,5.03,1.54,0.59,48.09,TRUE,0.059,3.77,FALSE,0,0,TRUE,TRUE,0.731,0.015
Kenya,Urban,1,53,Male,Primary,Salaried,236.75,84.49,63.57,7.33,1.21,113.79,270.39,TRUE,0.086,20.36,FALSE,0,0,TRUE,TRUE,0.659,0.027
Uganda,Rural,5,36,Male,Secondary,Casual_Labour,43.9,13.21,6.92,2.64,0.68,1.28,24.73,FALSE,0.054,2.37,TRUE,370.59,0,TRUE,FALSE,0.522,0.053
Senegal,Urban,5,50,Male,Secondary,Trader,202.43,81.02,7.34,20.43,6.63,155.74,271.16,FALSE,0.045,9.11,FALSE,0,0,TRUE,TRUE,0.567,0.034
Cameroon,Rural,2,59,Female,Primary,Casual_Labour,37.72,11.09,3.34,2.17,2.93,71.46,90.99,TRUE,0.182,6.87,FALSE,0,0,TRUE,FALSE,0.504,0.065
Ghana,Urban,3,53,Male,Primary,Trader,291.55,69.08,50.51,25.14,10.5,48.69,203.92,TRUE,0.196,57.14,FALSE,0,0,TRUE,TRUE,0.531,0.011
Nigeria,Urban,6,38,Female,Tertiary,Trader,212.85,69.85,45.97,23.47,17.58,190.19,347.06,TRUE,0.195,41.51,TRUE,460.72,0,FALSE,TRUE,0.734,0.053
Uganda,Urban,3,21,Male,Secondary,Casual_Labour,97.69,27.92,17.97,7.82,8.46,9.4,71.57,FALSE,0.047,4.59,FALSE,0,0,TRUE,TRUE,0.63,0.014
Kenya,Urban,4,44,Female,Secondary,Salaried,308.47,113.56,85.11,22.68,27.44,63.16,311.95,TRUE,0.153,47.2,FALSE,0,0,TRUE,TRUE,0.804,0.022
Cameroon,Rural,5,48,Male,Secondary,Self_Employed,57.63,19.02,5.57,1.5,6.63,3.72,36.44,FALSE,0.009,0.52,FALSE,0,0,TRUE,TRUE,0.558,0.012
Uganda,Urban,2,31,Female,Secondary,Student,62.56,28.75,21.93,3.76,4.64,11.38,70.46,TRUE,0.206,12.89,TRUE,403.66,0,FALSE,TRUE,0.93,0.058
Kenya,Urban,4,40,Male,Secondary,Salaried,239.89,78.6,46.09,25.4,18.58,14.59,183.26,TRUE,0.131,31.43,FALSE,0,120.13,TRUE,TRUE,0.7,0.014
Rwanda,Urban,4,39,Male,Secondary,Farmer,134.3,49.6,35.52,11.03,5.47,14.51,116.13,TRUE,0.214,28.74,FALSE,0,0,TRUE,TRUE,0.751,0.016
Rwanda,Urban,6,57,Male,Secondary,Self_Employed,177.86,47.78,41.75,18.05,0,10.2,117.78,FALSE,0.049,8.72,TRUE,544.21,0,TRUE,TRUE,0.601,0.029
Malawi,Urban,3,62,Male,No_School,Farmer,97.9,31.34,22.17,7.31,6.82,130.59,198.23,FALSE,0.049,4.8,FALSE,0,0,TRUE,TRUE,0.684,0.056
Uganda,Rural,3,54,Male,Secondary,Trader,10,5,0.63,0.62,0.19,68.47,74.91,TRUE,0.113,1.13,FALSE,0,0,TRUE,TRUE,0.585,0.21
Rwanda,Urban,5,39,Female,Secondary,Salaried,451.7,195.56,167.87,45.15,8.16,33.04,449.78,TRUE,0.244,110.21,FALSE,0,0,TRUE,TRUE,0.921,0.02
